Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-21,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,31.0,35.0
2024-01-21,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,28.0
2024-01-21,1,2024,Millbrook School,Wake,35.856111,-78.574167,33.0,33.0
2024-01-21,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,18.0
2024-01-21,1,2024,Rockwell,Rowan,35.551868,-80.395039,32.0,25.0
2024-01-21,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,29.0
2024-01-22,1,2024,Bryson City,Swain,35.434767,-83.442133,,34.0
2024-01-22,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,33.5
2024-01-22,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,59.0
2024-01-22,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,68.0
2024-01-22,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,4.0
2024-01-22,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,33.0,62.5
2024-01-22,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,59.0
2024-01-22,1,2024,Linville Falls,Avery,35.972347,-81.933072,,16.0
2024-01-22,1,2024,Millbrook School,Wake,35.856111,-78.574167,32.0,62.0
2024-01-22,1,2024,Old High School,Swain,35.498711,-83.310242,,11.0
2024-01-22,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,46.0
2024-01-22,1,2024,Rockwell,Rowan,35.551868,-80.395039,34.0,64.0
2024-01-22,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,46.0
2024-01-23,1,2024,Bryson City,Swain,35.434767,-83.442133,,48.0
2024-01-23,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,23.5
2024-01-23,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,80.0
2024-01-23,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,75.0
2024-01-23,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,,61.0
2024-01-23,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,63.0
2024-01-23,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,60.0
2024-01-23,1,2024,Millbrook School,Wake,35.856111,-78.574167,10.0,63.0
2024-01-23,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,51.0
2024-01-23,1,2024,Rockwell,Rowan,35.551868,-80.395039,15.0,66.0
2024-01-23,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,55.0
2024-01-24,1,2024,Bryson City,Swain,35.434767,-83.442133,,32.0
2024-01-24,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,18.0
2024-01-24,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,61.0
2024-01-24,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,62.0
2024-01-24,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,26.0,54.0
2024-01-24,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,55.0
2024-01-24,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,55.0
2024-01-24,1,2024,Millbrook School,Wake,35.856111,-78.574167,32.0,57.0
2024-01-24,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,28.0
2024-01-24,1,2024,Rockwell,Rowan,35.551868,-80.395039,26.0,59.0
2024-01-24,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,38.0
2024-01-25,1,2024,Bryson City,Swain,35.434767,-83.442133,,10.0
2024-01-25,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,15.5
2024-01-25,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,14.0
2024-01-25,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,17.0
2024-01-25,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,2.0
2024-01-25,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,22.0,10.5
2024-01-25,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,15.5
2024-01-25,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,17.0
2024-01-25,1,2024,Linville Falls,Avery,35.972347,-81.933072,,5.0
2024-01-25,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,17.0
